freq_MHz,pri_us,pw_us,doa_deg,amp_dB,toa_us
8996.88,2000.0,9.91,88.79,-62.21,701041.07
9004.49,2000.0,10.64,91.3,-61.14,703041.07
8998.99,2000.0,10.0,91.2,-59.33,705041.07
8996.33,2000.0,10.04,90.91,-58.54,707041.07
9003.52,2000.0,10.39,90.17,-58.59,709041.07
9002.05,2000.0,9.57,92.81,-59.3,711041.07
8997.78,2000.0,9.76,90.59,-59.54,713041.07
9000.99,2000.0,10.16,93.4,-58.93,715041.07
9000.95,2000.0,10.47,87.93,-59.6,717041.07
9009.05,2000.0,9.89,88.3,-60.65,719041.07
8994.55,2000.0,9.61,89.26,-61.41,721041.07
9000.08,2000.0,10.45,88.18,-58.48,723041.07
9002.55,2000.0,10.52,88.68,-59.15,725041.07
8994.54,2000.0,10.45,90.34,-59.45,727041.07
8994.12,2000.0,9.55,91.19,-60.95,729041.07
9002.32,2000.0,9.32,91.7,-61.23,731041.07
9002.76,2000.0,10.31,88.61,-59.42,733041.07
9001.3,2000.0,9.73,87.98,-61.96,735041.07
9001.75,2000.0,9.22,90.19,-60.26,737041.07
9003.4,2000.0,9.85,89.34,-59.27,739041.07
9001.68,2000.0,10.16,90.94,-61.54,741041.07
9003.78,2000.0,10.31,87.97,-60.24,743041.07
8999.8,2000.0,9.93,90.67,-58.57,745041.07
9005.41,2000.0,9.34,91.24,-58.67,747041.07
9001.93,2000.0,10.55,94.02,-58.98,749041.07
9001.25,2000.0,10.52,90.29,-59.98,751041.07
8998.24,2000.0,10.78,88.36,-58.47,753041.07
9002.5,2000.0,9.3,90.74,-62.1,755041.07
9003.13,2000.0,10.44,88.82,-59.88,757041.07
9009.77,2000.0,9.75,87.88,-58.52,759041.07
9009.81,2000.0,10.0,92.02,-58.66,761041.07
8996.29,2000.0,9.76,92.46,-58.31,763041.07
9002.81,2000.0,9.56,93.97,-60.53,765041.07
8998.32,2000.0,10.17,93.11,-59.15,767041.07
9002.07,2000.0,10.23,90.09,-59.44,769041.07
8987.35,2000.0,9.85,90.48,-61.15,771041.07
9001.93,2000.0,9.9,93.51,-58.43,773041.07
8997.67,2000.0,9.92,89.85,-60.45,775041.07
9000.98,2000.0,9.62,87.74,-59.38,777041.07
9003.15,2000.0,9.6,91.79,-60.63,779041.07
9001.27,2000.0,10.41,89.93,-59.55,781041.07
8997.42,2000.0,9.9,89.59,-60.75,783041.07
8999.12,2000.0,9.23,89.02,-60.28,785041.07
8993.91,3000.0,10.08,88.21,-59.49,786641.34
8998.72,2000.0,9.88,89.88,-59.52,787041.07
9004.37,2000.0,9.68,87.59,-61.04,789041.07
9000.17,3500.0,9.02,91.31,-59.19,789641.34
8997.56,2000.0,9.82,88.46,-61.3,791041.07
8997.72,2000.0,10.09,91.19,-60.56,793041.07
8995.03,3000.0,10.21,88.29,-59.9,793141.34
8997.94,2000.0,9.54,89.94,-60.85,795041.07
8993.68,3000.0,9.1,89.23,-60.12,796141.34
9002.87,2000.0,9.11,89.28,-59.7,797041.07
9000.92,2000.0,11.35,90.7,-61.0,799041.07
8998.01,3500.0,9.41,89.2,-59.73,799141.34
8999.78,3000.0,10.09,88.66,-58.83,802641.34
8994.12,3000.0,10.24,92.36,-59.52,805641.34
8998.99,3500.0,9.74,92.07,-61.42,808641.34
8995.15,3000.0,9.8,92.48,-59.62,812141.34
8995.16,3000.0,9.84,88.77,-60.71,815141.34
9004.89,3500.0,9.31,93.22,-59.17,818141.34
9005.45,3000.0,9.77,89.7,-61.43,821641.34
8997.38,3000.0,10.25,92.59,-61.11,824641.34
8998.17,3500.0,9.92,87.21,-59.41,827641.34
8996.38,3000.0,9.9,89.1,-60.79,831141.34
8999.96,3000.0,9.89,89.26,-60.73,834141.34
9001.6,3500.0,10.83,90.28,-59.0,837141.34
8993.05,3000.0,10.08,87.81,-61.48,840641.34
8996.3,3000.0,10.6,91.9,-59.76,843641.34
8992.34,3500.0,9.9,90.6,-59.82,846641.34
8990.78,3000.0,9.55,89.87,-59.46,850141.34
8989.02,3000.0,9.92,90.29,-59.15,853141.34
9003.46,3500.0,10.29,88.4,-61.91,856141.34
8998.03,3000.0,10.5,92.79,-59.29,859641.34
9002.15,3000.0,10.19,88.89,-60.13,862641.34
9008.35,3500.0,9.53,93.23,-60.32,865641.34
9006.63,3000.0,9.3,91.17,-60.74,869141.34
8992.92,3000.0,10.11,92.02,-60.84,872141.34
8992.5,3500.0,9.95,89.83,-59.45,875141.34
9004.75,3000.0,9.97,93.71,-59.78,878641.34
8998.27,3000.0,9.19,89.47,-60.34,881641.34
9004.8,3500.0,10.23,87.64,-59.83,884641.34
9003.36,3000.0,10.76,91.78,-59.24,888141.34
9000.3,3000.0,10.19,92.5,-61.33,891141.34
8998.25,3500.0,9.61,90.76,-58.77,894141.34
8997.02,3000.0,8.8,89.18,-59.09,897641.34
9002.69,3000.0,10.21,89.44,-61.28,900641.34
9002.58,3500.0,9.58,94.37,-59.43,903641.34
8997.1,3000.0,9.69,89.81,-60.24,907141.34
9005.58,3000.0,10.09,88.54,-58.11,910141.34
9000.25,3500.0,10.38,88.78,-59.64,913141.34
8002.78,3000.0,9.33,90.97,-61.55,915857.99
9001.56,3000.0,9.06,94.03,-58.71,916641.34
8055.41,3000.0,9.76,89.81,-58.67,918857.99
8998.01,3000.0,9.45,90.7,-59.91,919641.34
8093.56,3000.0,9.3,88.83,-58.96,921857.99
9001.78,3500.0,10.1,91.01,-58.55,922641.34
7992.4,3000.0,8.58,89.1,-59.45,924857.99
9002.84,3000.0,9.48,92.73,-58.36,926141.34
8056.0,3000.0,9.77,89.18,-58.85,927857.99
9015.76,3000.0,9.44,90.49,-62.08,929141.34
8090.65,3000.0,9.81,90.38,-59.55,930857.99
9002.77,3500.0,9.73,93.85,-60.77,932141.34
7997.45,3000.0,10.02,85.02,-60.66,933857.99
8991.55,3000.0,9.76,86.05,-59.25,935641.34
8052.27,3000.0,9.51,90.12,-59.55,936857.99
8989.67,3000.0,10.01,85.84,-60.32,938641.34
8098.29,3000.0,10.09,88.07,-60.21,939857.99
9008.22,3500.0,10.18,88.27,-60.03,941641.34
8003.05,3000.0,10.08,88.83,-59.78,942857.99
8053.57,3000.0,8.98,92.32,-60.34,945857.99
8102.13,3000.0,10.6,87.26,-60.71,948857.99
7998.56,3000.0,9.61,93.47,-60.86,951857.99
8047.22,3000.0,10.1,87.6,-60.4,954857.99
8101.59,3000.0,9.83,89.81,-60.53,957857.99
7992.43,3000.0,10.16,93.51,-59.98,960857.99
8051.13,3000.0,10.35,87.46,-58.3,963857.99
8101.01,3000.0,10.82,88.53,-58.18,966857.99
8003.88,3000.0,10.28,90.47,-60.25,969857.99
8056.0,3000.0,10.07,86.07,-61.12,972857.99
8099.07,3000.0,10.15,89.89,-58.78,975857.99
7990.24,3000.0,10.07,86.36,-59.24,978857.99
8049.53,3000.0,10.21,88.27,-58.72,981857.99
8105.21,3000.0,10.29,89.74,-59.42,984857.99
7996.47,3000.0,10.43,93.3,-58.93,987857.99
8046.35,3000.0,10.18,87.41,-59.43,990857.99
8102.25,3000.0,9.07,87.68,-60.28,993857.99
7998.5,3000.0,9.4,90.78,-59.75,996857.99
8049.03,3000.0,9.62,92.1,-58.34,999857.99
8097.58,3000.0,9.69,90.98,-60.36,1002857.99
7999.3,3000.0,10.37,86.18,-58.68,1005857.99
8050.36,3000.0,9.79,89.82,-60.04,1008857.99
8091.34,3000.0,10.75,90.08,-59.56,1011857.99
8004.76,3000.0,9.49,90.95,-60.27,1014857.99
8054.23,3000.0,8.94,89.8,-60.6,1017857.99
8102.16,3000.0,10.24,88.58,-60.71,1020857.99
7999.45,3000.0,9.55,91.68,-60.37,1023857.99
8035.47,3000.0,9.81,87.92,-61.63,1026857.99
8093.81,3000.0,10.05,92.66,-59.69,1029857.99
7996.97,3000.0,10.23,89.08,-60.69,1032857.99
8044.23,3000.0,9.12,89.22,-59.84,1035857.99
8099.52,3000.0,9.79,88.11,-59.39,1038857.99
7993.41,3000.0,10.39,88.0,-60.75,1041857.99
8042.67,3000.0,9.75,91.95,-59.48,1044857.99
8104.89,3000.0,10.26,87.79,-60.33,1047857.99
7996.1,3000.0,10.67,87.61,-59.11,1050857.99
8054.46,3000.0,10.91,89.18,-59.29,1053857.99
8111.41,3000.0,9.69,86.93,-61.88,1056857.99
8003.56,3000.0,9.06,89.26,-59.56,1059857.99
8050.93,3000.0,10.21,90.44,-58.72,1062857.99
9000.95,2000.0,9.67,90.85,-59.98,1187121.87
8996.79,2000.0,10.24,93.61,-60.19,1189121.87
9003.6,2000.0,9.35,88.09,-59.53,1191121.87
9007.42,2000.0,10.18,89.37,-60.0,1193121.87
8993.75,2000.0,10.3,91.76,-60.45,1195121.87
8997.65,2000.0,10.13,89.13,-60.07,1197121.87
9010.5,2000.0,9.88,89.28,-60.65,1199121.87
9003.72,2000.0,9.91,88.7,-58.68,1201121.87
9007.1,2000.0,9.7,86.27,-58.99,1203121.87
8996.58,2000.0,10.4,86.06,-59.11,1205121.87
8993.94,2000.0,10.37,90.03,-60.95,1207121.87
8997.96,2000.0,10.34,90.21,-59.42,1209121.87
9009.88,2000.0,9.22,93.23,-59.9,1211121.87
8995.51,2000.0,9.33,89.62,-59.08,1213121.87
8999.36,2000.0,10.76,87.1,-60.01,1215121.87
8993.74,2000.0,10.18,91.77,-60.42,1217121.87
8986.98,2000.0,10.1,90.87,-59.6,1219121.87
9006.18,2000.0,9.46,91.36,-58.81,1221121.87
8991.11,2000.0,10.16,88.99,-60.08,1223121.87
9001.74,2000.0,9.76,88.65,-59.97,1225121.87
8994.56,2000.0,9.46,91.36,-61.15,1227121.87
9003.33,2000.0,10.23,86.55,-60.68,1229121.87
9005.97,2000.0,9.51,89.07,-59.54,1231121.87
9003.92,2000.0,9.87,88.8,-58.58,1233121.87
9008.69,2000.0,10.49,90.17,-60.81,1235121.87
8995.85,2000.0,10.26,90.84,-58.6,1237121.87
9003.25,2000.0,9.25,92.1,-61.0,1239121.87
8998.08,2000.0,10.13,93.99,-56.89,1241121.87
9003.03,2000.0,9.91,91.07,-59.11,1243121.87
8998.4,2000.0,10.9,90.46,-59.5,1245121.87
9003.33,2000.0,10.21,91.68,-60.62,1247121.87
8997.21,2000.0,9.45,90.88,-59.22,1249121.87
9002.29,2000.0,10.84,89.99,-59.33,1251121.87
8994.54,2000.0,9.81,91.39,-59.15,1253121.87
8998.53,2000.0,9.96,86.96,-60.36,1255121.87
9004.45,2000.0,10.29,91.0,-59.95,1257121.87
9000.04,2000.0,9.67,91.4,-59.58,1259121.87
6002.46,5000.0,10.28,90.39,-60.1,1260186.25
9002.46,2000.0,9.74,85.69,-58.9,1261121.87
8997.61,2000.0,9.57,91.39,-60.39,1263121.87
9005.3,2000.0,10.31,91.37,-61.37,1265121.87
6052.18,5000.0,8.73,91.36,-59.87,1265186.25
9006.06,2000.0,10.13,89.26,-59.86,1267121.87
8991.12,2000.0,10.2,87.94,-61.35,1269121.87
6098.89,5000.0,11.02,88.65,-60.4,1270186.25
8992.39,2000.0,10.56,88.74,-58.47,1271121.87
8997.32,2000.0,9.15,87.77,-58.76,1273121.87
8999.22,2000.0,9.73,90.32,-59.5,1275121.87
6009.96,5000.0,9.58,88.9,-60.15,1275186.25
9005.59,2000.0,10.72,89.28,-61.33,1277121.87
8997.93,2000.0,10.13,88.07,-60.96,1279121.87
6054.2,5000.0,10.1,87.41,-60.53,1280186.25
9001.72,2000.0,9.98,90.07,-60.76,1281121.87
8998.85,2000.0,9.54,91.78,-58.96,1283121.87
8990.77,2000.0,9.54,87.01,-60.65,1285121.87
6096.96,5000.0,9.96,90.85,-59.58,1285186.25
5991.12,5000.0,10.53,90.51,-58.62,1290186.25
6052.22,5000.0,10.55,90.93,-58.65,1295186.25
6102.61,5000.0,9.95,94.54,-59.11,1300186.25
6002.87,5000.0,9.36,87.42,-59.71,1305186.25
6050.73,5000.0,9.69,90.28,-58.41,1310186.25
6103.48,5000.0,9.43,89.78,-60.8,1315186.25
5998.06,5000.0,9.79,89.04,-61.26,1320186.25
6049.36,5000.0,9.72,84.14,-57.95,1325186.25
6105.44,5000.0,9.81,90.04,-61.17,1330186.25
6008.48,5000.0,10.95,90.31,-58.98,1335186.25
6050.88,5000.0,9.33,89.18,-59.87,1340186.25
6097.73,5000.0,9.89,89.82,-60.08,1345186.25
6000.26,5000.0,9.47,88.57,-61.28,1350186.25
6054.89,5000.0,8.95,92.31,-58.61,1355186.25
6098.49,5000.0,8.7,89.28,-60.06,1360186.25
5994.95,5000.0,9.74,93.06,-59.34,1365186.25
6045.38,5000.0,9.2,89.35,-60.21,1370186.25
6102.48,5000.0,9.73,91.02,-58.06,1375186.25
6004.08,5000.0,9.98,89.63,-60.36,1380186.25
6055.9,5000.0,9.69,90.09,-59.95,1385186.25
6097.49,5000.0,9.31,90.65,-60.06,1390186.25
6002.5,5000.0,9.73,92.44,-60.88,1395186.25
6058.56,5000.0,9.13,90.87,-59.52,1400186.25
6096.02,5000.0,10.21,92.56,-62.22,1405186.25
6002.51,5000.0,8.75,88.07,-58.37,1410186.25
6047.09,5000.0,9.41,89.6,-57.93,1415186.25
6090.84,5000.0,9.47,92.99,-58.14,1420186.25
5999.48,5000.0,9.38,94.19,-58.41,1425186.25
6053.39,5000.0,9.59,89.9,-60.16,1430186.25
6101.65,5000.0,10.73,91.76,-61.08,1435186.25
6006.88,5000.0,10.16,91.37,-58.53,1440186.25
6044.44,5000.0,9.98,88.94,-61.57,1445186.25
6101.73,5000.0,11.26,86.32,-60.03,1450186.25
6003.2,5000.0,10.06,89.77,-61.3,1455186.25
6051.16,5000.0,9.62,85.62,-58.81,1460186.25
6104.79,5000.0,10.03,90.46,-58.93,1465186.25
6001.12,5000.0,10.45,89.41,-58.69,1470186.25
6051.6,5000.0,10.1,87.46,-59.71,1475186.25
6095.84,5000.0,9.68,88.37,-61.07,1480186.25
6010.62,5000.0,10.67,93.84,-61.22,1485186.25
6050.36,5000.0,9.35,88.61,-60.92,1490186.25
6106.2,5000.0,9.8,92.14,-59.4,1495186.25
6011.52,5000.0,9.26,92.52,-58.85,1500186.25
6045.13,5000.0,10.5,90.67,-60.23,1505186.25
7003.32,4000.0,9.64,91.17,-60.4,1559033.4
7047.73,4000.0,10.45,91.8,-58.31,1563033.4
7108.12,4000.0,10.46,86.56,-58.17,1567033.4
7004.59,4000.0,9.62,91.46,-61.04,1571033.4
7053.09,4000.0,9.34,88.38,-59.29,1575033.4
7105.36,4000.0,10.16,89.43,-62.11,1579033.4
6998.95,4000.0,10.27,89.37,-60.02,1583033.4
7049.07,4000.0,9.84,90.15,-60.27,1587033.4
7107.22,4000.0,8.9,88.91,-60.87,1591033.4
7001.1,4000.0,10.04,93.24,-58.05,1595033.4
7046.13,4000.0,10.0,90.39,-60.8,1599033.4
7103.14,4000.0,9.88,87.86,-60.28,1603033.4
6995.01,4000.0,10.52,93.8,-59.76,1607033.4
7050.56,4000.0,10.08,92.36,-58.84,1611033.4
7099.42,4000.0,10.13,91.31,-61.14,1615033.4
7006.06,4000.0,10.87,92.33,-61.25,1619033.4
7040.15,4000.0,10.35,88.48,-59.71,1623033.4
7107.68,4000.0,9.67,89.24,-59.72,1627033.4
6993.51,4000.0,9.62,90.05,-60.3,1631033.4
7053.04,4000.0,11.38,90.2,-60.84,1635033.4
7107.09,4000.0,9.21,87.22,-60.6,1639033.4
6998.59,4000.0,9.69,89.94,-59.73,1643033.4
7055.34,4000.0,10.05,88.88,-58.99,1647033.4
7095.91,4000.0,9.18,92.41,-58.86,1651033.4
6996.04,4000.0,9.8,88.17,-59.67,1655033.4
7058.66,4000.0,10.35,92.07,-59.18,1659033.4
7100.0,4000.0,10.54,91.49,-58.56,1663033.4
6997.7,4000.0,9.13,92.09,-59.65,1667033.4
7048.52,4000.0,9.88,95.11,-60.64,1671033.4
7095.73,4000.0,10.04,92.36,-57.72,1675033.4
7003.29,4000.0,9.36,93.94,-60.02,1679033.4
7045.81,4000.0,9.46,91.67,-59.76,1683033.4
7101.73,4000.0,10.64,88.4,-58.63,1687033.4
6997.4,4000.0,11.08,91.2,-60.92,1691033.4
7039.87,4000.0,10.4,89.25,-60.16,1695033.4
7103.83,4000.0,10.51,92.45,-61.17,1699033.4
7007.13,4000.0,9.71,85.49,-61.18,1703033.4
7051.09,4000.0,9.51,89.82,-59.66,1707033.4
7099.09,4000.0,9.75,87.5,-59.98,1711033.4
6989.68,4000.0,9.66,88.14,-60.24,1715033.4
7048.93,4000.0,10.48,93.17,-61.12,1719033.4
7109.96,4000.0,9.61,90.35,-59.49,1723033.4
7012.22,4000.0,9.73,86.41,-58.51,1727033.4
7045.83,4000.0,9.82,87.76,-60.36,1731033.4
7095.8,4000.0,10.34,90.16,-60.68,1735033.4
7004.98,4000.0,10.13,86.31,-59.08,1739033.4
7050.92,4000.0,10.7,90.25,-60.79,1743033.4
7098.98,4000.0,10.4,88.46,-60.44,1747033.4
6998.89,4000.0,9.43,88.49,-59.83,1751033.4
7056.01,4000.0,10.16,89.91,-60.83,1755033.4
9011.95,4000.0,10.19,89.8,-61.6,1944922.78
8996.2,4500.0,9.94,88.57,-60.61,1948922.78
9007.88,4000.0,10.01,90.24,-60.67,1953422.78
9005.89,4000.0,9.89,88.96,-61.58,1957422.78
8999.69,4500.0,9.72,93.37,-58.16,1961422.78
8993.82,4000.0,9.44,89.45,-60.82,1965922.78
9001.09,4000.0,9.84,90.56,-58.98,1969922.78
8994.68,4500.0,10.5,88.54,-57.85,1973922.78
9008.1,4000.0,9.94,88.07,-61.15,1978422.78
9004.37,4000.0,9.98,91.85,-57.8,1982422.78
8996.15,4500.0,9.38,90.39,-58.86,1986422.78
8995.3,4000.0,10.02,92.74,-61.63,1990922.78
9001.18,4000.0,9.73,90.25,-59.29,1994922.78
9001.1,4500.0,9.49,89.0,-58.57,1998922.78
