freq_MHz,pri_us,pw_us,doa_deg,amp_dB,toa_us,toa_hms
11597.15,3546.53,35.82,222.51,-33.29,290376.93,00:00:00
11571.7,3388.6,29.77,222.37,-34.47,293923.46,00:00:00
11601.2,3517.55,31.5,225.78,-33.84,297312.06,00:00:00
11585.03,3509.98,31.63,225.7,-35.45,300829.6,00:00:00
8109.7,2608.57,46.83,1.96,-31.68,508449.16,00:00:00
8262.12,2572.92,48.41,0.34,-31.26,511057.73,00:00:00
8190.37,2530.15,49.34,2.17,-31.56,513630.64,00:00:00
8132.59,2572.52,50.16,3.01,-31.6,516160.79,00:00:00
8265.97,2644.74,44.89,3.67,-31.4,518733.31,00:00:00
8171.2,2634.99,48.48,1.25,-32.25,521378.05,00:00:00
8133.94,2552.64,51.69,1.5,-32.11,524013.05,00:00:00
8268.44,2576.8,51.81,3.74,-33.08,526565.69,00:00:00
8193.41,2517.54,52.36,5.84,-30.87,529142.48,00:00:00
8109.35,2648.54,55.02,1.17,-31.78,531660.02,00:00:00
8249.03,2609.56,52.6,3.17,-28.6,534308.56,00:00:00
8182.64,2508.79,49.89,-3.05,-32.28,536918.12,00:00:00
8147.16,2610.24,49.91,5.42,-32.01,539426.92,00:00:00
8273.53,2600.08,50.41,-0.66,-32.23,542037.15,00:00:00
8168.34,2588.43,50.43,-0.44,-29.69,544637.23,00:00:00
8133.7,2596.37,51.37,0.12,-31.58,547225.66,00:00:00
8253.74,2674.22,46.85,1.9,-31.41,549822.04,00:00:00
8186.26,2563.23,47.25,0.64,-31.22,552496.25,00:00:00
8129.48,2634.67,50.64,-2.78,-31.5,555059.48,00:00:00
8283.42,2662.11,50.51,-0.34,-31.27,557694.15,00:00:00
10656.14,2149.64,19.69,243.13,-68.43,1138887.04,00:00:01
10604.17,2036.98,18.03,242.34,-69.16,1141036.67,00:00:01
10661.59,2128.07,20.17,243.8,-68.22,1143073.65,00:00:01
10611.03,2150.77,18.4,241.22,-68.54,1145201.72,00:00:01
10649.95,2151.21,18.29,244.38,-68.81,1147352.49,00:00:01
10608.27,2115.4,17.96,241.84,-68.11,1149503.7,00:00:01
10654.06,2051.77,20.48,242.06,-69.24,1151619.1,00:00:01
10619.76,2134.42,17.75,239.79,-68.67,1153670.87,00:00:01
10657.68,2134.65,19.78,242.96,-67.1,1155805.29,00:00:01
10604.82,2076.35,18.88,241.74,-71.02,1157939.93,00:00:01
10649.09,2121.63,18.48,240.59,-67.53,1160016.28,00:00:01
10594.38,2138.39,17.62,247.4,-68.66,1162137.92,00:00:01
10651.47,2156.58,18.48,244.79,-68.07,1164276.31,00:00:01
10602.37,2098.9,20.02,242.34,-68.01,1166432.89,00:00:01
10660.12,2113.99,19.37,241.64,-68.5,1168531.79,00:00:01
10091.28,4605.81,35.08,227.49,-57.43,1168628.62,00:00:01
10592.36,2120.94,17.26,242.45,-68.73,1170645.78,00:00:01
10658.45,2064.16,16.88,241.18,-69.49,1172766.72,00:00:01
10078.84,4610.89,34.41,222.1,-56.91,1173234.43,00:00:01
10585.74,2140.77,20.39,240.29,-68.52,1174830.88,00:00:01
10651.63,2080.6,19.51,243.9,-69.31,1176971.64,00:00:01
10098.1,4605.28,39.23,228.87,-56.57,1177845.32,00:00:01
10604.0,2162.55,19.53,243.56,-67.08,1179052.24,00:00:01
10091.07,4510.94,37.3,226.51,-58.37,1182450.6,00:00:01
10095.8,4509.79,38.35,226.48,-59.73,1186961.55,00:00:01
10083.38,4507.78,37.72,226.44,-56.97,1191471.34,00:00:01
10107.55,4545.83,37.24,222.72,-58.64,1195979.12,00:00:01
10097.75,4613.41,40.75,224.27,-57.58,1200524.94,00:00:01
10094.81,4702.58,38.05,229.02,-57.1,1205138.35,00:00:01
10103.92,4610.35,38.14,223.88,-57.54,1209840.93,00:00:01
10107.28,4596.91,37.01,225.24,-59.0,1214451.28,00:00:01
10106.83,4597.65,37.57,226.32,-59.44,1219048.19,00:00:01
10087.52,4638.16,39.69,226.58,-57.29,1223645.84,00:00:01
10100.36,4492.17,34.68,225.91,-56.87,1228284.0,00:00:01
10103.62,4387.38,37.6,225.77,-58.37,1232776.17,00:00:01
10097.27,4585.12,37.28,230.03,-57.59,1237163.55,00:00:01
10087.92,4474.62,36.29,224.8,-58.71,1241748.67,00:00:01
10090.48,4522.79,33.51,225.72,-57.23,1246223.29,00:00:01
10097.54,4626.44,39.44,224.68,-58.01,1250746.08,00:00:01
10098.19,4468.15,35.51,230.67,-57.58,1255372.51,00:00:01
9445.48,5029.05,45.33,89.56,-51.64,1335099.8,00:00:01
11923.34,5553.46,32.37,18.02,-44.98,1339834.93,00:00:01
9435.74,6309.43,41.72,94.48,-50.54,1340128.85,00:00:01
11916.43,5591.81,35.59,21.29,-45.7,1345388.39,00:00:01
9427.72,5482.13,43.77,88.66,-51.85,1346438.29,00:00:01
11935.87,5308.93,38.28,21.17,-44.44,1350980.2,00:00:01
9443.07,5163.63,39.22,89.16,-54.08,1351920.42,00:00:01
11902.19,5727.84,35.78,13.52,-44.04,1356289.13,00:00:01
9452.85,6473.44,41.42,90.96,-53.79,1357084.05,00:00:01
10098.86,6281.39,19.65,58.04,-70.93,1360281.54,00:00:01
11936.75,5399.64,36.18,21.35,-44.11,1362016.97,00:00:01
9448.72,5328.21,39.35,90.86,-52.37,1363557.49,00:00:01
10076.87,5945.27,19.42,57.8,-70.85,1366562.93,00:00:01
11930.67,5316.25,37.17,18.14,-44.35,1367416.61,00:00:01
9435.5,5120.77,39.53,93.43,-51.14,1368885.7,00:00:01
10086.95,6215.47,18.46,59.24,-71.49,1372508.2,00:00:01
11924.87,5611.22,37.02,18.23,-45.37,1372732.86,00:00:01
9444.18,6401.29,45.12,89.69,-53.4,1374006.47,00:00:01
11916.75,5433.22,36.88,16.96,-45.54,1378344.08,00:00:01
10106.67,5871.23,20.03,58.24,-70.56,1378723.67,00:00:01
8127.1,2340.82,27.69,206.16,-73.3,1378929.94,00:00:01
9450.04,5670.95,40.27,95.49,-52.07,1380407.76,00:00:01
8126.34,2346.63,26.39,206.11,-72.73,1381270.75,00:00:01
8143.31,2289.54,27.58,204.71,-71.29,1383617.39,00:00:01
11925.18,5379.35,32.53,17.98,-44.89,1383777.3,00:00:01
10084.09,6240.92,20.41,58.12,-72.58,1384594.9,00:00:01
8125.92,2394.67,26.13,203.01,-73.85,1385906.93,00:00:01
9436.28,5005.58,42.08,90.2,-52.09,1386078.71,00:00:01
8129.61,2333.95,26.55,203.17,-73.39,1388301.59,00:00:01
11929.75,5434.8,37.01,18.08,-46.22,1389156.65,00:00:01
8154.24,2394.28,26.44,204.39,-73.24,1390635.54,00:00:01
10086.98,6022.43,18.79,58.01,-72.83,1390835.83,00:00:01
9458.92,6314.76,43.48,89.6,-52.7,1391084.3,00:00:01
8138.95,2266.97,25.54,200.98,-72.96,1393029.81,00:00:01
11915.82,5703.48,36.36,18.68,-45.1,1394591.45,00:00:01
8139.28,2291.95,27.91,201.86,-74.83,1395296.79,00:00:01
10096.99,6043.67,19.26,58.5,-70.57,1396858.26,00:00:01
9429.02,5460.23,42.39,92.18,-50.94,1397399.05,00:00:01
8135.06,2362.78,28.06,203.4,-72.29,1397588.74,00:00:01
8132.43,2306.32,27.02,205.62,-74.94,1399951.52,00:00:01
11931.59,5602.55,35.96,20.85,-45.67,1400294.93,00:00:01
8147.58,2378.19,25.07,205.11,-72.87,1402257.84,00:00:01
9435.6,5142.35,39.72,92.76,-51.66,1402859.28,00:00:01
10084.38,5844.15,21.67,54.85,-74.33,1402901.93,00:00:01
8135.42,2288.84,25.01,204.26,-72.19,1404636.03,00:00:01
11928.49,5556.9,35.12,18.37,-44.83,1405897.48,00:00:01
8138.25,2297.16,26.88,198.62,-72.22,1406924.88,00:00:01
9448.91,6228.85,38.98,90.62,-52.41,1408001.63,00:00:01
10089.44,6155.43,18.8,59.16,-71.89,1408746.08,00:00:01
8115.42,2297.54,24.43,201.73,-72.2,1409222.04,00:00:01
11934.25,5624.29,33.18,19.84,-42.89,1411454.39,00:00:01
8128.14,2330.35,25.82,205.27,-73.29,1411519.57,00:00:01
8119.98,2360.43,25.24,201.2,-73.79,1413849.93,00:00:01
9443.96,5531.66,39.07,88.83,-50.01,1414230.48,00:00:01
10079.4,5764.79,20.68,59.04,-72.23,1414901.51,00:00:01
8147.82,2353.67,25.43,203.62,-73.69,1416210.35,00:00:01
11923.39,5421.61,36.17,18.57,-45.43,1417078.68,00:00:01
8153.58,2331.99,26.43,206.38,-73.13,1418564.02,00:00:01
9431.78,5211.07,40.86,92.53,-52.17,1419762.14,00:00:01
10103.51,6093.26,18.3,56.36,-72.18,1420666.3,00:00:01
8130.22,2305.23,25.78,204.24,-72.64,1420896.01,00:00:01
11931.76,5768.19,37.09,18.31,-44.22,1422500.29,00:00:01
8133.33,2348.23,25.77,204.47,-75.36,1423201.24,00:00:01
9439.24,6401.44,39.9,94.36,-51.6,1424973.21,00:00:01
9475.94,3924.73,37.96,91.04,-76.64,1426699.17,00:00:01
10087.47,5878.52,20.16,55.24,-70.69,1426759.56,00:00:01
11907.37,5533.06,34.78,18.51,-44.83,1428268.49,00:00:01
9451.09,3787.73,38.09,90.5,-78.21,1430623.9,00:00:01
9449.09,5394.98,40.32,89.66,-52.52,1431374.66,00:00:01
10084.22,6332.68,20.15,58.66,-71.56,1432638.07,00:00:01
11920.3,5511.74,37.61,18.1,-45.24,1433801.55,00:00:01
9465.04,3799.75,38.36,90.18,-77.95,1434411.62,00:00:01
9432.72,5264.69,40.9,92.37,-52.39,1436769.64,00:00:01
9484.76,3931.4,41.2,89.13,-78.17,1438211.38,00:00:01
10089.52,5975.27,21.13,58.14,-71.42,1438970.75,00:00:01
11927.82,5617.82,35.94,20.64,-45.19,1439313.29,00:00:01
9445.07,6626.49,40.19,90.73,-51.64,1442034.33,00:00:01
9499.4,3928.26,39.02,94.04,-78.55,1442142.78,00:00:01
11930.94,5674.6,39.48,19.39,-44.7,1444931.11,00:00:01
10084.14,6368.01,19.14,61.35,-72.17,1444946.02,00:00:01
9468.97,3957.61,37.29,87.05,-77.22,1446071.04,00:00:01
9475.93,3859.95,39.18,90.4,-78.62,1450028.65,00:00:01
10070.73,5918.94,19.14,59.43,-72.79,1451314.03,00:00:01
9469.39,3820.73,39.07,89.22,-78.71,1453888.6,00:00:01
10080.58,6003.57,19.36,52.9,-73.72,1457232.97,00:00:01
9450.63,3902.86,40.68,90.71,-77.93,1457709.33,00:00:01
9478.39,3794.39,38.84,91.93,-77.96,1461612.19,00:00:01
10092.65,5990.93,20.23,55.81,-72.18,1463236.54,00:00:01
9496.09,3974.85,41.76,89.35,-78.73,1465406.58,00:00:01
10085.01,6083.6,21.3,59.5,-72.35,1469227.46,00:00:01
9465.63,3871.68,34.43,89.96,-78.47,1469381.43,00:00:01
9460.41,3911.57,37.63,91.41,-75.38,1473253.11,00:00:01
10085.31,5927.73,17.79,57.25,-72.81,1475311.06,00:00:01
9459.54,3838.7,39.09,89.67,-77.41,1477164.68,00:00:01
9486.72,3909.56,38.46,95.74,-79.94,1481003.38,00:00:01
9465.33,3863.21,40.08,91.85,-76.59,1484912.93,00:00:01
9474.46,3858.9,38.71,92.05,-78.48,1488776.14,00:00:01
9472.46,3891.99,41.96,86.46,-77.81,1492635.04,00:00:01
9472.95,3923.11,39.4,93.48,-78.84,1496527.03,00:00:01
9453.35,3931.11,38.22,87.72,-78.15,1500450.14,00:00:01
